id,name,category,address,latitude,longitude,description,tags,url,phone,email,logo,linkedin,twitter,youtube,facebook,year,instagram,ek_website,eklenme_tarihi,NOT,OK?,
11,Barbare Bağları,Botanik Bahçe,"Merkez Karaağaçlık Mevkii, Yazır, 59000 Süleymanpaşa/Tekirdağ",40.9275102,27.4341307,"Fransa’da üniversite eğitimi sonrasında restoran işletmeciliği yapan ve Chateau-neuf-du-pape bölgesindeki Chateau Cabrieres ve Chateau Maucoil’in sahibi ile arkadaş olan Can Topsakal’ın, tutkusu olan şarap işine girmek istemesi ile 2000 yılında Barbare hikayesi başlar.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
12,Umurbey Saraplari,Botanik Bahçe,"Yazır, 59020 Süleymanpaşa/Tekirdağ",40.9171105,27.4185145,"Umurbey Vineyards, 1993 yılında Trakya'da, Tekirdağ'a 12 km uzaklıkta bulunan Yazır bölgesinde Umur Arıner tarafından kurulmuştur.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
13,Melen winery,Botanik Bahçe,"Sahilyolu No 6, Hoşköy, Hoşköy Şarköy Tekirdağ, 59670 Marmara/Şarköy/Tekirdağ",40.711156,27.3110736,"Melen Şarapçılık, şarapla ilişkisi Antik Yunan'a kadar uzanan Trakya'da, bu köklü mirasın kendine düşen kısmına hak ettiği değeri vermeye çalışıyor. Üç kuşaktır biriken deneyimler, yeni bir enerjiyle aynı topraklarda yaşatılmaya devam ediyor.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
14,Kutman Şarapları,Botanik Bahçe,"Mürefte, Kutman Şarapları, Yalı Cad No 67, 59800 Şarköy/Tekirdağ",40.6638332,27.2415931,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
15,Gülor,Botanik Bahçe,"İğdebağları, 59800 Şarköy/Tekirdağ",40.629725,27.1559121,"Gülor, Fransız ve İtalyan araştırmacıların yaptığı iklim ve toprak araştırmaları sonucu Tekirdağ ili Şarköy ilçesinin Eriklice köyünde 1993 yılında kurulmuştur.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
16,chateau kalpak,Botanik Bahçe,"Sofuköy, Gelibolu Yolu 7 km, 59800 Şarköy/Tekirdağ",40.6546565,27.0530159,"Mevcut Chateau Kalpak bağının bir araya getirilmesi 12 yıl sürdü. 2010 yılında yepyeni bir şaraphanede ilk şarap üretildi. İlk şaraplar, Avrupa şarap yarışmalarında 9 altın madalya ve Türkiye'nin “2014 En İyi Ulusal Üreticisi” oldu.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
17,Gali Vineyards,Botanik Bahçe,"Demirtepe Köyü İç Yolu, 17500 Bolayır/Gelibolu/Çanakkale",40.5138487,26.7857655,"GALİ, Gelibolu’nun Rumca kökenli isimleri Gallipoli veya Kallipolis’den türetilmiştir. Gallipoli, güzel şehir anlamını taşır. Dolayısıyla Gali de, güzel",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003160
18,Vinero Bağcılık,Botanik Bahçe,"Bahşi Mevkii No: 423, 17902 Kumköy Köyü/Eceabat/Eceabat/Çanakkale",40.2657281,26.3803321,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003161
19,Suvla Wine Factory,Botanik Bahçe,"İsmetpaşa, 17900 Çınarlıdere Mevkii/Eceabat/Çanakkale",40.1790291,26.3500858,"Bağcılık için çok elverişli bir coğrafyanın güçlü teruar desteği, yüksek teknolojik altyapı ve insan gücünün dengeli birleşimi ile tutkuyla üretilen Suvla, Kabatepe bölgesinde deniz manzaralı çam ormanları ile çevrelenmiş, yoğun iyot ve reçine kokuları içindeki 11 yaşındaki aile bağları Bozokbağ’da yetişen üzümlerden üretiliyor.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003162
20,Çamlıbağ Şarapları,Botanik Bahçe,"Cumhuriyet, Emniyet Sk. No:01, 17680 Bozcaada/Çanakkale",39.8343259,26.0670516,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003163
21,Corvus Şarap,Botanik Bahçe,"Alaybey, 17680 Bozcaada/Çanakkale",39.8054577,26.0747137,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003164
22,Nusretbey Şarapları,Botanik Bahçe,"Çınarlı, Atatürk Cd., 17760 Gökçeada/Çanakkale",40.1935924,25.9018147,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003165
23,Barba Yorgo Şarapları,Botanik Bahçe,"Tepeköy İç Yolu No:13, 17760 Tepeköy/Gökçeada/Çanakkale",40.1921577,25.8316356,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003166
24,Büyülüğü Bağ Şarapları,Botanik Bahçe,"Unnamed Road, Avşa, 10940 Marmara/Balıkesir",40.4983894,27.5106401,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003167
25,MA'ADRA VINEYARDS,Botanik Bahçe,"Kobaşlar, Kubaşlar Köyü, 10717 Gömeç/Balıkesir",39.3351227,26.9415818,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003168
26,Likya Şarapları,Botanik Bahçe,"Meydankavağı, Avni Tolunay Cd., 07200 Muratpaşa/Antalya",36.876802,30.7247563,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003169
27,Datça Bağcılık,Botanik Bahçe,"D400, Kızlan, Marmaris Datça Yolu 7.km, 48900 Datça/Muğla",36.7579917,27.693469,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003170
28,Knidos Şarapçılık,Çiftlik & Eko-Girişim,"Reşadiye Mah., Barış Sokak No: 12, Reşadiye, 48900 Datça/Muğla",36.7530332,27.6587644,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003171
29,Efmeyra Şarap,Çiftlik & Eko-Girişim,"Sazak, D:No:105, 20700 Çal/Denizli",38.08878,29.2955554,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003172
30,Sevilen Magnesia Şaraphanesi,Çiftlik & Eko-Girişim,"Gümüşköy Mahallesi, Unnamed Road, Gümüşköy, 09330 Germencik/Aydın",37.8588492,27.4828131,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003173
31,Sevilen Şarap,Çiftlik & Eko-Girişim,"Görece Cumhuriyet, Mithat Pasa Street, 35470 Menderes/İzmir",38.2775872,27.137294,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003174
32,Limantepe Şarapcılık,Çiftlik & Eko-Girişim,"Rüstem, Özbek Yolu Cd., 35430 Urla/İzmir",38.338994,26.7524869,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003175
33,Yedi Bilgeler Vineyards,Çiftlik & Eko-Girişim,"Döltenaltı Mevkii, Çamlık, Gökçealan Köyü, 35920 Selçuk/İzmir",37.8770756,27.3788319,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003176
34,MMG winery,Çiftlik & Eko-Girişim,"Bademler, Gödence Yolu Cd., No:40 35430 Urla/İzmir",38.269414,26.8571364,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003177
35,Urla Sarapcilik,Çiftlik & Eko-Girişim,"Kuşçular, 8028 Sok. No:12, 35430 Urla/İzmir",38.252863,26.7350023,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003178
36,USCA Winery,Çiftlik & Eko-Girişim,"Kuşçular, 8033. Sk. No:1, 35437 Urla/İzmir",38.2833962,26.7534091,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003179
37,Mozaik Şarapçilik Winery,Çiftlik & Eko-Girişim,"Kuşçular, 8015. Sk. No:6, 35430 Urla/İzmir",38.2871626,26.7163789,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003180
38,Urlice Vineyards,Çiftlik & Eko-Girişim,"İçmeler, 1168. Sk. No:7, 35430 Urla/İzmir",38.320858,26.7343393,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003181
39,Sevilen İsabey Bağevi,Çiftlik & Eko-Girişim,"Gölcükler, 901. Sokak İstasyon Mevkii No:38, 35470 Menderes/İzmir",38.2627094,27.1627705,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003182
40,Lucien Arkas Bağları,Çiftlik & Eko-Girişim,"Yazıbaşı sokak, Kuşçuburun, Mimarbaşı Sinan Cd. No:88, 35860 Torbalı/İzmir",38.2000625,27.3083552,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003183
41,Prodom,Çiftlik & Eko-Girişim,"Aydın Organize Sanayi Bölgesi, 1. Cadde, No:9, Umurlu, 09630 Efeler/Aydın",37.8609126,27.9751395,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003184
42,Nif Bağları ve Şaraphanesi,Çiftlik & Eko-Girişim,"Sarıceviz Mevkii, Yeni Mahalle No:25 D:2, Yeni, Bağyurdu, 35743 Kemalpaşa/İzmir",38.472176,27.6089963,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003185
43,Selendi Şarapları,Çiftlik & Eko-Girişim,"Moralılar, 45200 Akhisar/Manisa, Turkey",38.82041,27.8371682,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003186
44,Kastro Tireli Bağları,Çiftlik & Eko-Girişim,"Hürriyet, 45200 Pınarcık/Akhisar/Manisa",38.8612499,27.8724378,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003187
45,Yanık Ülke,Çiftlik & Eko-Girişim,"Merkez Mah. Atatürk Cad. No: 317 İzmir-Ankara Devlet Karayolu, Kavacık, 45170 Kula/Manisa",38.562733,28.5910696,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003188
46,Kavaklidere Pendore Wines,Çiftlik & Eko-Girişim,"Kavaklıdere, 45610 Alaşehir/Manisa",38.4291251,28.3556314,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003189
47,Pamukkale Şarapları,Çiftlik & Eko-Girişim,"Tilkilik, 9 Nolu Sk., 20460 Güney/Denizli",38.154691,29.0640013,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003190
48,Kup Sarapcilik,Çiftlik & Eko-Girişim,"Mahmutgazi Köyü Taşbağları Mevki, Mahmutgazi, No:205, 20700 Çal/Denizli",38.0308584,29.421504,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003191
49,Kavaklıdere Şarapları A.Ş.,Çiftlik & Eko-Girişim,"Balıkhisar, Çankırı Blv No:80, 06750 Akyurt/Ankara",40.0800971,33.0144962,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003192
50,Vinkara,Çiftlik & Eko-Girişim,"Halitcevriaslangil, Şht. Ufuk Ünsal Sk. No:1, 06870 Kalecik/Ankara",40.106699,33.4098743,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003193
51,Chateau Kalecik,Çiftlik & Eko-Girişim,"Ahikemal Şenyurt, Çankırı Cad. No:250, 06870 Kalecik/Ankara",40.077786,33.4405733,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003194
